Survived,PassengerId,Pclass,Age,Fare
No,1,3,22,7.25
yes,2,1,38,71.2833
yes,3,3,26,7.925
yes,4,1,35,53.1
No,5,3,35,8.05
No,6,3,10,8.4583
No,7,1,54,51.8625
No,8,3,2,21.075
yes,9,3,27,11.1333
yes,10,2,14,30.0708
yes,11,3,4,16.7
yes,12,1,58,26.55
No,13,3,20,8.05
No,14,3,39,31.275
No,15,3,14,7.8542
yes,16,2,55,16
No,17,3,2,29.125
yes,18,2,22,13
No,19,3,31,18
yes,20,3,22,7.225
No,21,2,35,26
yes,22,2,34,13
yes,23,3,15,8.0292
yes,24,1,28,35.5
No,25,3,8,21.075
yes,26,3,38,31.3875
No,27,3,22,7.225
No,28,1,19,263
yes,29,3,22,7.8792
No,30,3,23,7.8958
No,31,1,40,27.7208
yes,32,1,23,146.5208
yes,33,3,23,7.75
No,34,2,66,10.5
No,35,1,28,82.1708
No,36,1,42,52
yes,37,3,22,7.2292
No,38,3,21,8.05
No,39,3,18,18
yes,40,3,14,11.2417
No,41,3,40,9.475
No,42,2,27,21
No,43,3,23,7.8958
yes,44,2,3,41.5792
yes,45,3,19,7.8792
No,46,3,23,8.05
No,47,3,43,15.5
yes,48,3,34,7.75
No,49,3,33,21.6792
No,50,3,18,17.8
No,51,3,7,39.6875
No,52,3,21,7.8
yes,53,1,49,76.7292
yes,54,2,29,26
No,55,1,65,61.9792
yes,56,1,34,35.5
yes,57,2,21,10.5
No,58,3,28,7.2292
yes,59,2,5,27.75
No,60,3,11,46.9
No,61,3,22,7.2292
yes,62,1,38,80
No,63,1,45,83.475
No,64,3,4,27.9
No,65,1,23,27.7208
yes,66,3,23,15.2458
yes,67,2,29,10.5
No,68,3,19,8.1583
yes,69,3,17,7.925
No,70,3,26,8.6625
No,71,2,32,10.5
No,72,3,16,46.9
No,73,2,21,73.5
No,74,3,26,14.4542
yes,75,3,32,56.4958
No,76,3,25,7.65
No,77,3,33,7.8958
No,78,3,23,8.05
yes,79,2,83,29
yes,80,3,30,12.475
No,81,3,22,9
yes,82,3,29,9.5
yes,83,3,33,7.7875
No,84,1,28,47.1
yes,85,2,17,122.5
yes,86,3,33,15.85
No,87,3,16,34.375
No,88,3,44,8.225
yes,89,1,23,263
No,90,3,24,8.225
No,91,3,29,8.225
No,92,3,20,7.8542
No,93,1,46,61.175
No,94,3,26,222.575
No,95,3,59,7.25
No,96,3,32,8.225
No,97,1,71,34.6542
yes,98,1,23,63.3583
yes,99,2,34,23
No,100,2,34,26
No,101,3,28,7.8958
No,102,3,24,7.8958
No,103,1,21,77.2875
No,104,3,33,8.6542
No,105,3,37,7.925
No,106,3,28,7.8958
yes,107,3,21,7.65
yes,108,3,23,7.775
No,109,3,38,7.8958
yes,110,3,23,24.15
No,111,1,47,52
No,112,3,14,14.4542
No,113,3,22,8.225
No,114,3,20,9.825
No,115,3,17,14.4583
No,116,3,21,7.925
No,117,3,70,7.75
No,118,2,29,21
No,119,1,24,247.52228
No,120,3,2,31.275
No,121,2,21,73.5
No,122,3,23,8.225
No,123,2,32,322.227228
yes,124,2,32,13
No,125,1,54,77.2875
yes,126,3,12,11.2417
No,127,3,44,7.75
yes,128,3,24,7.1417
yes,129,3,43,22.3583
No,130,3,45,6.975
No,131,3,33,7.8958
No,132,3,20,7.05
No,133,3,47,14.5
yes,134,2,29,26
No,135,2,25,13
No,136,2,23,15.0458
yes,137,1,19,26.2833
No,138,1,37,53.1
No,139,3,16,9.2167
No,140,1,24,79.2
No,141,3,32,15.2458
yes,142,3,24,7.75
yes,143,3,24,15.85
No,144,3,19,6.75
No,145,2,18,11.5
No,146,2,19,36.75
yes,147,3,27,7.7958
No,148,3,9,34.375
No,149,2,36,26
No,150,2,42,13
No,151,2,51,12.525
yes,152,1,22,66.6
No,153,3,55,8.05
No,154,3,40,14.5
No,155,3,23,7.3125
No,156,1,51,61.3792
yes,157,3,16,7.7333
No,158,3,30,8.05
No,159,3,44,8.6625
No,160,3,23,69.55
No,161,3,44,16.1
yes,162,2,40,15.75
No,163,3,26,7.775
No,164,3,17,8.6625
No,165,3,1,39.6875
yes,166,3,9,20.525
yes,167,1,33,55
No,168,3,45,27.9
No,169,1,45,25.925
No,170,3,28,56.4958
No,171,1,61,33.5
No,172,3,4,29.125
yes,173,3,1,11.1333
No,174,3,21,7.925
No,175,1,56,30.6958
No,176,3,18,7.8542
No,177,3,22,25.4667
No,178,1,50,28.7125
No,179,2,30,13
No,180,3,36,22
No,181,3,33,69.55
No,182,2,34,15.05
No,183,3,9,31.3875
yes,184,2,1,39
yes,185,3,4,22.025
No,186,1,44,50
yes,187,3,34,15.5
yes,188,1,45,26.55
No,189,3,40,15.5
No,190,3,36,7.8958
yes,191,2,32,13
No,192,2,19,13
yes,193,3,19,7.8542
yes,194,2,3,26
yes,195,1,44,27.7208
yes,196,1,58,146.5208
No,197,3,44,7.75
No,198,3,42,8.4042
yes,199,3,55,7.75
No,200,2,24,13
No,201,3,28,9.5
No,202,3,32,69.55
No,203,3,34,6.4958
No,204,3,45,7.225
yes,205,3,18,8.05
No,206,3,2,10.4625
No,207,3,32,15.85
